Item ID,Class Label,Model,IoU,Dice,Precision,Recall,F1,FPR,Latency (ms),Prediction Hash
DARTIS-2019-val_oil_01,PETROLEUM_OIL,Production Adapted SAM,0.105796,0.191349,0.521156,0.117188,0.191349,0.012638,960.66,7011e9f8255c57b4972d4bab8cccf73bc8e668e39b0190c57295d2e394d89d5c
DARTIS-2019-val_oil_02,PETROLEUM_OIL,Production Adapted SAM,0.662685,0.797126,0.937265,0.693444,0.797126,0.010046,504.31,27e20186e79ab5c7395263c3e7ae7206c6027fa00d3db9046d8c217aa6ea110c
DARTIS-2019-val_oil_03,PETROLEUM_OIL,Production Adapted SAM,0.0,0.0,0.0,0.0,0.0,4e-06,474.29,45b595369a9b10116e52f079dcedc6833e4236c0cc5bd0a23a45ebc60c2aeb53
DARTIS-2019-val_oil_04,PETROLEUM_OIL,Production Adapted SAM,0.325643,0.491298,0.506766,0.476747,0.491298,0.032587,496.86,3bfdb33434ea232f41dd96826f8adc852de4be528b86b1c28c6df4abc4e670cb
DARTIS-2019-val_oil_05,PETROLEUM_OIL,Production Adapted SAM,0.426284,0.597755,0.473639,0.810018,0.597755,0.059567,474.35,d791d7410c92679217283f542bfa48d573cd3ec4f8ab3cfc52b2d691613b8b0b
DARTIS-2019-val_lookalike_01,LOW_WIND_AREA,Production Adapted SAM,1.0,1.0,1.0,1.0,1.0,0.0,497.13,8a39d2abd3999ab73c34db2476849cddf303ce389b35826850f9a700589b4a90
DARTIS-2019-val_lookalike_02,BIOGENIC_SLICK,Production Adapted SAM,1.0,1.0,1.0,1.0,1.0,0.0,479.31,8a39d2abd3999ab73c34db2476849cddf303ce389b35826850f9a700589b4a90
DARTIS-2019-val_lookalike_03,INTERNAL_WAVE,Production Adapted SAM,1.0,1.0,1.0,1.0,1.0,0.0,494.2,8a39d2abd3999ab73c34db2476849cddf303ce389b35826850f9a700589b4a90
DARTIS-2019-val_lookalike_04,SHIP_WAKE,Production Adapted SAM,1.0,1.0,1.0,1.0,1.0,0.0,474.94,8a39d2abd3999ab73c34db2476849cddf303ce389b35826850f9a700589b4a90
DARTIS-2019-val_lookalike_05,CLEAN_WATER,Production Adapted SAM,1.0,1.0,1.0,1.0,1.0,0.0,495.53,8a39d2abd3999ab73c34db2476849cddf303ce389b35826850f9a700589b4a90
DARTIS-2019-val_oil_01,PETROLEUM_OIL,Vanilla SAM Baseline,0.990704,0.99533,0.999963,0.99074,0.99533,4e-06,495.04,d582463a572963fe02945e9b624a8c186090495bdfc2b7505970376107b772c2
DARTIS-2019-val_oil_02,PETROLEUM_OIL,Vanilla SAM Baseline,0.983342,0.991601,1.0,0.983342,0.991601,0.0,515.21,081b2ea8089a330077e96beee1c1cb1c13be0e6202c54bbb27c8218b3bcca23c
DARTIS-2019-val_oil_03,PETROLEUM_OIL,Vanilla SAM Baseline,0.975013,0.987348,0.979041,0.995798,0.987348,0.00112,488.94,e1a530b806a0e118937bdf5cb00c7e530fdd492932ed115c798c82fc9170619c
DARTIS-2019-val_oil_04,PETROLEUM_OIL,Vanilla SAM Baseline,0.989046,0.994493,0.991733,0.997268,0.994493,0.000584,515.43,487549fb64afe13abc8694d615bf8112b009055be021d39e20e11469e6ff230d
DARTIS-2019-val_oil_05,PETROLEUM_OIL,Vanilla SAM Baseline,0.992809,0.996392,0.999938,0.99287,0.996392,4e-06,494.3,c82089364b8ce243b0d84947deb78f232da2209198170cca2f12e90d16a2535b
DARTIS-2019-val_lookalike_01,LOW_WIND_AREA,Vanilla SAM Baseline,0.0,0.0,0.0,1.0,0.0,0.556717,515.34,2021832fc8ffe8a31d98cb7818a55cc3c1de64e7704a4e18c3ff38de9f93c789
DARTIS-2019-val_lookalike_02,BIOGENIC_SLICK,Vanilla SAM Baseline,0.0,0.0,0.0,1.0,0.0,0.03429,493.84,69113feed50bd6f0e63a09f0853175957ba3c281d6f3166600a117013b997900
DARTIS-2019-val_lookalike_03,INTERNAL_WAVE,Vanilla SAM Baseline,0.0,0.0,0.0,1.0,0.0,0.279819,515.98,673463bc9a1fd87db00df1453d3e4651ee988931ace19d4dafc20758885579c4
DARTIS-2019-val_lookalike_04,SHIP_WAKE,Vanilla SAM Baseline,0.0,0.0,0.0,1.0,0.0,0.016083,497.61,b61a53b5e0633bd5f2a69b4243c6e1f7000b2b0329069b4474e4b498b4787669
DARTIS-2019-val_lookalike_05,CLEAN_WATER,Vanilla SAM Baseline,0.0,0.0,0.0,1.0,0.0,0.439857,520.28,aa2c5503fc8ae6a5f9ca497553ddc2d0d7873376cff5d03e8b88d9573884f71f
